song id, 歌曲名, 艺术家
2755303660,ILLENIUM/ M83/ Maypops/ TWLGHT/ Luminate/ Lost Wolves/ Subtronics/ Zeds Dead/ Yakz/ Avicii - LET IT BE (ELUMINATE MASHUP),ELUSID
2755084125,盛开,CDK-DP/ RestarPlan Records
2755084127,Back to Summer,Sixbpm/ C O O K ! E ☭/ RestarPlan Records
2755084129,Lights On,_Warpcore_/ RestarPlan Records
2755084130,Lights On,Katharxis/ RestarPlan Records
2755085648,World Around You,Speraymer/ RestarPlan Records
2755085649,Home With You,Beviteng Electron/ RestarPlan Records
2755084132,Love You Like I Do,Lorizone/ RestarPlan Records
2755268275,By the Paper of the Owl (Rhoele Mashup),RHOELE
2755265169,Seven Lions - By the Light of the Moon x Don't Leave (dRaph Mashup),dRaph
2753439341,Jewel You [Slowed + Reverb],Stardust/ K3NTO/ Mitsucaster/ Slowed Star
2724411036,Kill Me for Always (CŮRT1S REMIX),Michael Clifford/ Porter Robinson/ CŮRT1S
2635279059,In Your Hands,Eradyk
2755053182,ILLENIUM - Forever (GhostDragon Remix),GhostDragon
2754970375,Nurko & HALIENE - Retraced (MVXIMVS Remix),MVXIMVS
2754970336,Starfall vs Golden (REYDIUM MASHUP),REYDIUM
2754970292,Good Things Fall Apart x Forever (CHOU MASHUP),CHOU
2754970183,GTFA x Sad Songs x Nightlight x From The Ashes x Insanity x In Your Arms (Karmaxis Mashup),Karmaxis
2754966149,Forever x Good Things Fall Apart (Rodrigo HO Mashup),Rodrigo HO
2754969160,Forever x If I Lose Myself (Elyte Mashup),Elyte
2754965118,As Long As I Got You x Forever (Romora Mashup),Romora
2754966009,Excision/ ILLENIUM/ Wooli/ Dion Timmer - Gold x Salvation x Zombie (T3MPURA Mashup),T3MPURA
2754964990,Bloom x Free [WAYWHEN MASHUP],WAYWHEN
2754964960,Hollow x Not Enough (ROY KNOX Remix) (SadBois Edit),SadBois
2754965944,Free from Worlds Away (SONDER Mashup),Sonder
2754965929,Free x I See You (SOUP Mashup) - Dabin/ Nurko/ Rumi/ Jinu,Soup
2754964771,Air x Kususiki (koodai mashup) - Gryffin/ Excision/ Julia Michaels/ Mrs. GREEN APPLE,koodai
2754965440,ILLENIUM - Refuge (X-Cessive & lil Rose Redux),X-Cessive/ Lil Rose
2754964405,Dabin/ Stephanie Poetri - Not Enough (The Sed Remix),The Sed
2754964293,Hoang/ Mvse/ XG - LEFT RIGHT x Moments (Patrick Lai Mashup),Patrick Lai
2751189544,Calm But Cold,JYOTIN/ Saw2Win/ Marshllex
2687278823,Empires (White Numen Remix),White Numen
2687276577,Dusk to Dawn,White Numen
2750712135,遊樂園,Might/ The Ninth Day Records
2665222831,Rewind,Blurry Sky
2663263413,Under the Ginkgo Tree,Blurry Sky
2667269432,Casey Cook-Never Fall2（Blurry sky remix）,Blurry Sky
2752571415,End So Fast,Blurry Sky
2754514689,Emotional x Feeling So Down (Lightfighter Mashup) feat. Bumpÿ/ E.F LINK/ Wolfpup/ YuShu,Lightfighter
2750742678,In The Middle of a Dream（Eternal Void remix）,Eternal Void
2751453662,穀神星,UnD3ath
2751453661,Messiah,Xyanide
2751451999,Rekindled,Reyar
2751451998,Reverberation,MKKF
2751451996,Cold Space,miudox
2751451995,Aureole,LeoMusic-Effect
2751453660,Circuit Havoc,PAQII
2751453658,心溯,Napple/ Shaw_Tyan
2751451993,Eternal Abyss,Shiorei
2751453655,Wildcard,IAMMRGODIE
2751451989,Zip Zap Zipper,IAMMRGODIE
2751451990,Moment,Taraxaci
2751451991,Seraph,Aut0
2751453654,VSK3777：混沌星漩,Nerovix
2751453653,复鳴,Gaia
2751451988,靈,Axusr
2751451987,星滅,UnD3ath
2749488415,Ascendancy,Zapp/ M2K Records
2751200164,i'll still be here,Blue Laze
2749911677,Never Forget,Aiden Cha
2751265134,When Everything's Just Okay,Sonic Manifestation
2747472910,Tired of Being Alone,RemK
2747471024,RIDE THE WAVE!,RemK
2747471026,We'll Make It (feat. Clearest),RemK/ Clearest
2754235060,Nurko & HALIENE - Retraced (Gryxx Remix),Gryxx
2753415566,Haunting Me,Autumn Skeyes
